label|command|expected_status|flags|lane|direction|rate|weights|size|ring|cache|txoff|rxoff|timeout|session|path|object|dropdata|dropack|unavailable|rawtarget|spacing|stale|initialseq|faultflags|idle|injectmask|injectdelay|window|started_ms|finished_ms|sequence|fixed_status|rotating_status|fixed_state|rotating_state|fixed_dump_path|rotating_dump_path|fixed_p10_1_dump_path|rotating_p10_1_dump_path|fixed_p10_1r_dump_path|rotating_p10_1r_dump_path|injection_applied|injection_readback|injection_timestamp_ms|injection_sender|injection_preconditions_verified|injection_pre_outstanding|injection_pre_target_scheduled|injection_pre_target_physical_tx|injection_pre_dropped_ack|injection_pre_migration_count|injection_initial_sequence|injection_pre_ack_base|injection_baseline_physical_ack_good|injection_pre_physical_ack_good|injection_post_write_ack_base|injection_baseline_target_crc_bad|injection_pre_target_crc_bad
intake_F2_raw_1024|2|0|0|4|0|2|16843009|0|32|0|0|0|30000|2701328385|259|1|0|0|0|1024|1024|0|0|0|0|0|0|NA|1785876340058|1785876340457|1011|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260804T204115Z_b77883df_a6ecd8e6_a5491982/stages/module_intake/dumps/intake_F2_raw_1024.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260804T204115Z_b77883df_a6ecd8e6_a5491982/stages/module_intake/dumps/intake_F2_raw_1024.rotating.bin|||C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260804T204115Z_b77883df_a6ecd8e6_a5491982/stages/module_intake/dumps/intake_F2_raw_1024.fixed.p10_1r.psv|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260804T204115Z_b77883df_a6ecd8e6_a5491982/stages/module_intake/dumps/intake_F2_raw_1024.rotating.p10_1r.psv|0|0|0|NA|0|0|0|0|0|0|0|0|0|0|0|0|0
intake_R2_raw_64|2|0|0|4|1|2|16843009|0|32|0|0|0|30000|2701328385|259|1|0|0|0|64|1024|0|0|0|0|0|0|NA|1785876340647|1785876341038|1012|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260804T204115Z_b77883df_a6ecd8e6_a5491982/stages/module_intake/dumps/intake_R2_raw_64.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260804T204115Z_b77883df_a6ecd8e6_a5491982/stages/module_intake/dumps/intake_R2_raw_64.rotating.bin|||C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260804T204115Z_b77883df_a6ecd8e6_a5491982/stages/module_intake/dumps/intake_R2_raw_64.fixed.p10_1r.psv|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260804T204115Z_b77883df_a6ecd8e6_a5491982/stages/module_intake/dumps/intake_R2_raw_64.rotating.p10_1r.psv|0|0|0|NA|0|0|0|0|0|0|0|0|0|0|0|0|0
intake_R2_raw_1024|2|0|0|4|1|2|16843009|0|32|0|0|0|30000|2701328385|259|1|0|0|0|1024|1024|0|0|0|0|0|0|NA|1785876341224|1785876341617|1013|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260804T204115Z_b77883df_a6ecd8e6_a5491982/stages/module_intake/dumps/intake_R2_raw_1024.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260804T204115Z_b77883df_a6ecd8e6_a5491982/stages/module_intake/dumps/intake_R2_raw_1024.rotating.bin|||C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260804T204115Z_b77883df_a6ecd8e6_a5491982/stages/module_intake/dumps/intake_R2_raw_1024.fixed.p10_1r.psv|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260804T204115Z_b77883df_a6ecd8e6_a5491982/stages/module_intake/dumps/intake_R2_raw_1024.rotating.p10_1r.psv|0|0|0|NA|0|0|0|0|0|0|0|0|0|0|0|0|0
intake_F3_raw_64|2|0|0|8|0|2|16843009|0|32|0|0|0|30000|2701328385|259|1|0|0|0|64|1024|0|0|0|0|0|0|NA|1785876341796|1785876342207|1014|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260804T204115Z_b77883df_a6ecd8e6_a5491982/stages/module_intake/dumps/intake_F3_raw_64.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260804T204115Z_b77883df_a6ecd8e6_a5491982/stages/module_intake/dumps/intake_F3_raw_64.rotating.bin|||C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260804T204115Z_b77883df_a6ecd8e6_a5491982/stages/module_intake/dumps/intake_F3_raw_64.fixed.p10_1r.psv|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260804T204115Z_b77883df_a6ecd8e6_a5491982/stages/module_intake/dumps/intake_F3_raw_64.rotating.p10_1r.psv|0|0|0|NA|0|0|0|0|0|0|0|0|0|0|0|0|0
intake_F3_raw_1024|2|0|0|8|0|2|16843009|0|32|0|0|0|30000|2701328385|259|1|0|0|0|1024|1024|0|0|0|0|0|0|NA|1785876342463|1785876342857|1015|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260804T204115Z_b77883df_a6ecd8e6_a5491982/stages/module_intake/dumps/intake_F3_raw_1024.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260804T204115Z_b77883df_a6ecd8e6_a5491982/stages/module_intake/dumps/intake_F3_raw_1024.rotating.bin|||C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260804T204115Z_b77883df_a6ecd8e6_a5491982/stages/module_intake/dumps/intake_F3_raw_1024.fixed.p10_1r.psv|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260804T204115Z_b77883df_a6ecd8e6_a5491982/stages/module_intake/dumps/intake_F3_raw_1024.rotating.p10_1r.psv|0|0|0|NA|0|0|0|0|0|0|0|0|0|0|0|0|0
intake_R3_raw_64|2|0|0|8|1|2|16843009|0|32|0|0|0|30000|2701328385|259|1|0|0|0|64|1024|0|0|0|0|0|0|NA|1785876343041|1785876343415|1016|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260804T204115Z_b77883df_a6ecd8e6_a5491982/stages/module_intake/dumps/intake_R3_raw_64.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260804T204115Z_b77883df_a6ecd8e6_a5491982/stages/module_intake/dumps/intake_R3_raw_64.rotating.bin|||C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260804T204115Z_b77883df_a6ecd8e6_a5491982/stages/module_intake/dumps/intake_R3_raw_64.fixed.p10_1r.psv|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260804T204115Z_b77883df_a6ecd8e6_a5491982/stages/module_intake/dumps/intake_R3_raw_64.rotating.p10_1r.psv|0|0|0|NA|0|0|0|0|0|0|0|0|0|0|0|0|0
intake_R3_raw_1024|2|0|0|8|1|2|16843009|0|32|0|0|0|30000|2701328385|259|1|0|0|0|1024|1024|0|0|0|0|0|0|NA|1785876343587|1785876344011|1017|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260804T204115Z_b77883df_a6ecd8e6_a5491982/stages/module_intake/dumps/intake_R3_raw_1024.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260804T204115Z_b77883df_a6ecd8e6_a5491982/stages/module_intake/dumps/intake_R3_raw_1024.rotating.bin|||C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260804T204115Z_b77883df_a6ecd8e6_a5491982/stages/module_intake/dumps/intake_R3_raw_1024.fixed.p10_1r.psv|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260804T204115Z_b77883df_a6ecd8e6_a5491982/stages/module_intake/dumps/intake_R3_raw_1024.rotating.p10_1r.psv|0|0|0|NA|0|0|0|0|0|0|0|0|0|0|0|0|0
intake_F2_counter_100f|3|0|2|4|0|2|16843009|24700|32|1|0|0|60000|2701328385|259|855638016|0|0|0|0|1024|0|0|0|0|0|0|NA|1785876344225|1785876344698|1018|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260804T204115Z_b77883df_a6ecd8e6_a5491982/stages/module_intake/dumps/intake_F2_counter_100f.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260804T204115Z_b77883df_a6ecd8e6_a5491982/stages/module_intake/dumps/intake_F2_counter_100f.rotating.bin|||C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260804T204115Z_b77883df_a6ecd8e6_a5491982/stages/module_intake/dumps/intake_F2_counter_100f.fixed.p10_1r.psv|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260804T204115Z_b77883df_a6ecd8e6_a5491982/stages/module_intake/dumps/intake_F2_counter_100f.rotating.p10_1r.psv|0|0|0|NA|0|0|0|0|0|0|0|0|0|0|0|0|0
intake_F2_prbs_1000f|3|0|2|4|0|2|16843009|247000|32|1|0|0|120000|2701328385|259|1929379841|0|0|0|0|1024|0|0|0|0|0|0|NA|1785876344876|1785876346309|1019|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260804T204115Z_b77883df_a6ecd8e6_a5491982/stages/module_intake/dumps/intake_F2_prbs_1000f.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260804T204115Z_b77883df_a6ecd8e6_a5491982/stages/module_intake/dumps/intake_F2_prbs_1000f.rotating.bin|||C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260804T204115Z_b77883df_a6ecd8e6_a5491982/stages/module_intake/dumps/intake_F2_prbs_1000f.fixed.p10_1r.psv|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260804T204115Z_b77883df_a6ecd8e6_a5491982/stages/module_intake/dumps/intake_F2_prbs_1000f.rotating.p10_1r.psv|0|0|0|NA|0|0|0|0|0|0|0|0|0|0|0|0|0
intake_R2_counter_100f|3|0|2|4|1|2|16843009|24700|32|1|0|0|60000|2701328385|259|855638018|0|0|0|0|1024|0|0|0|0|0|0|NA|1785876346519|1785876347012|1020|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260804T204115Z_b77883df_a6ecd8e6_a5491982/stages/module_intake/dumps/intake_R2_counter_100f.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260804T204115Z_b77883df_a6ecd8e6_a5491982/stages/module_intake/dumps/intake_R2_counter_100f.rotating.bin|||C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260804T204115Z_b77883df_a6ecd8e6_a5491982/stages/module_intake/dumps/intake_R2_counter_100f.fixed.p10_1r.psv|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260804T204115Z_b77883df_a6ecd8e6_a5491982/stages/module_intake/dumps/intake_R2_counter_100f.rotating.p10_1r.psv|0|0|0|NA|0|0|0|0|0|0|0|0|0|0|0|0|0
intake_R2_prbs_1000f|3|0|2|4|1|2|16843009|247000|32|1|0|0|120000|2701328385|259|1929379843|0|0|0|0|1024|0|0|0|0|0|0|NA|1785876347210|1785876348630|1021|0|0|4|4|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260804T204115Z_b77883df_a6ecd8e6_a5491982/stages/module_intake/dumps/intake_R2_prbs_1000f.fixed.bin|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260804T204115Z_b77883df_a6ecd8e6_a5491982/stages/module_intake/dumps/intake_R2_prbs_1000f.rotating.bin|||C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260804T204115Z_b77883df_a6ecd8e6_a5491982/stages/module_intake/dumps/intake_R2_prbs_1000f.fixed.p10_1r.psv|C:/Users/user/Documents/RF_COMM_MULTILANE_P10_3/evidence/hardware/p10_3f_full/p10_3f_full_20260804T204115Z_b77883df_a6ecd8e6_a5491982/stages/module_intake/dumps/intake_R2_prbs_1000f.rotating.p10_1r.psv|0|0|0|NA|0|0|0|0|0|0|0|0|0|0|0|0|0
